"id","query","product_title","product_description","median_relevance","relevance_variance"
2176,"gold dress","lipstik girl number fuchsia white metal gold paint bubbl tank dress","will feel like star tank dress racer tank dress fuchsia white horizon stripe detail metal gold paint splatter throughout bubbl hem number tier ruffl coordin accent made blend stretch fun parti dress summer",4,0.471
2177,"solar batteri charger","solar solpl2212 prologix number amp automat batteri charger","model pl2212 solar prologix automat batteri charger control sever variabl phase charg process ensur batteri get optim charg mean batteri charg better avoid damag batteri numbernumbernumb weight number number lbs manufactur solar packag dimens item ship separ warehous may requir extra time deliveri",4,0.8
2178,"levi","levi women number petit skinni bootcut indigo rins jean","deep beauti indigo rins give boot cut jean appeal varieti outfit classic style levi women jean embodi zipper embroid pocket contrast stitch complementari fit",4,0
2183,"electr griddl","home imag numberperson electr parti grill","feed eight peopl versatil cooker person can creat recip cook prefer adjust temperatur control",4,0
2184,"wall clock","trend lab owl wall clock","",4,0
2190,"projector","portabl pocket projector","portabl pocket projector modern day miracl microminiatur imagin projector that number number inch number number inch wide less inch tall can throw imag number inch number inch diagon",4,0
2193," knee snow boot","knee har boot ","take footwear new height fabul knee black boot cool strap har around faux leather boot side zip entri elast calf easi slip style calf fit size number fit number number number number number number number number number number number number number size number measur number tall number heel manmad materi import final sale return exchang",4,0
2198,"shaver panason","panason wet dri shaver esrw30 esrw30","panason electr shaver wellsuit shield particular sensit skin provid smooth shave trustworthi transport panason esrw30 gentl shave can avoid irrit raw feel skin particular tender area panason electr shaver ideal rid special can sustain wonder suppl skin except shave time featur men electr shaver help make sure consist receiv mani complet shave without deplet power panason esrw30 featur precis can enjoy smooth shave month end",4,0
2200,"toy truck","green toy recycl truck","get kid excit recycl green toy recycl truck ecofriend toy recycl truck look just like real thing side movabl recycl bed rear door awesom green toy made recycl plastic milk contain teach kid recycl basic toy put recycl practic",4,0
2204," clock","black labrador clock","great home decor labrador hold clock uniqu timepiec classic roman numer clock hang dog mouth dog stand golden tone boneshap base craft composit materi finish antiqu bronz black number number sterl industri special bring creativ imagin decor home accessori sterl strong design innov qualiti manufactur ensur product stylish demand",4,0
2208,"three wheel bike","mobo triton pro ultim three wheel cruiser silver","safeti flag includ optim visibl ergonom design cruiser recumb style design reduc shoulder arm stress innov steer system balanc need color blue color metal color orang color red overal height top bottom number inch dimens x x",4,0.433
2209,"queen comfort set","sienna numberpc comfort set queen","sienna numberpc comfort set queen sienna comfort set featur warm brown diamond pattern give home dose welcom style craft plush microfib overs comfort come decor pillow bed skirt set includ one two one bed two decor two euro sham style tradit fabric detail print pattern solid bedskirt drop length number inch color option multi brown materi numberperc microfib polyest fill materi polyest hypoallergen care instruct machin washabl queen comfort dimens number inch wide x number inch long sham dimens number inch wide x number inch long bedskirt dimens number inch wide x number inch long numberinch drop squar decor pillow number inch wide x number inch long boudoir decor pillow number inch wide x number inch long euro sham number inch wide x number inch long king comfort dimens number inch wide x number inch long sham dimens number inch wide x number inch long bedskirt dimens number inch wide x number inch long numberinch drop squar decor pillow number inch wide x number inch long boudoir decor pillow number inch wide x number inch long two euro sham number inch wide x number inch long digit imag display accur color possibl",4,0
2217,"memori foam pillow","dough support low loft firm memori foam pillow","dough pillow construct memori foam comfort night regardl size sleep prefer pillow design elimin pain pressur point",4,0
2221,"flea tick control dog","advantag ii small dog flea lice topic 6ct","advantag topic flea treatment small dog prevent control flea lice infest canin month use dog puppi number week weigh number lbs bayer advantag flea treatment lice treatment kill flea life stage within number hour applic",3,0.471
2222,"zippo hand warmer","zippo high polish chrome delux hand cup pouch","",4,0
2223,"iphon number case","chic hardshel iphon number case ","",4,0.943
2228,"yellow dress","women satin vneck bridesmaid dress remov flower fashion color ","women sleeveless dress tevolio lightweight dress avail varieti bright classic color wear dress special occas choos afford bridesmaid dress will look flatter whole bridal parti knee sleeveless dress beauti sheer layer full line dress high vneck squar back featur remov flower conveni bra strap holder avail size number28w",2,0.943
2231,"samsung galaxi phone case","speck candyshel grip cell phone case samsung galaxi s4 ","candyshel grip case fit samsung galaxi s4 mini textur text rubber stripe give slip grip great shoot messag back forth duallay case patent design provid two layer protect singlepiec construct easi put take impact resist hard outer shell galaxi s4 mini cover guard impact add strength durabl shock absorb rubberi reinforc corner rubberi ridg absorb shock occasion bump drop save face rais edg help protect screen impact add grip phone can lie face tabl dashboard without slide cover button rubber cover shield volum power button keep fulli access",4,0
2235,"shotgun shell pouch","blackhawk gennumb moll system shotgun shell coyot tan 37cl51"," nylon color coyot tan round count number mount type moll cartridg type shot shell finish plain made usa addit featur gennumb moll system",4,0.471
2238,"full tang knife","threshold pinch pleat comfort set","modern threshold pinch pleat comfort set make eleg addit bedroom sport pinchedpleat quilt solid color subtl geometr comfort set comfort stylish bed set includ soft comfort number pillow sham avail lavend white king size machin washabl",1,0
2244,"adida pant","genuin dicki men relax fit flat front cargo pant","",2,0.748
2248,"rain boot","chainstrap pvc rain black givenchi black ","found number hubert de intern luxuryhous known haut accessoriescollect men women sinc riccardo tisci creativ director givenchi twist code cool andaristocrat tisci add dark romantic sensual creat silhouett combin pure line graphic structur true hous creativ heritag riccardo tisci bring thenam givenchi today world project futur",4,0
2250,"aqua shoe","girl c9 champion hazell water shoe pink","",4,0.898
2252,"mac book air cover","nook hd madelin houndstooth cover","classic madelein cover now avail nook bold new houndstooth pattern print durabl coat canva madelein elast design team chose brightr shade add live accent front cover band attach back panel pair nickelpl one accent emboss addit secur band keep front cover neat way your enjoy nook hd youll find charcoal sued line numberpoint talon clip keep devic firm place easili access time",1,0.471
2257,"shotgun shell pouch","condor black moll number round number gaug shell shotgun reload magazin pouch ma61"," thank appreci busi inkfrog creation",4,0.471
2258,"golf club","lili beth golf club head cover","extend life club eyecatch lili beth golf head cover yellow bumbl bee vibrant cover featur waterproof design defend club even worst condit includ x cover high color stitch coordin golf shoe bag sold separ lili beth golf lili beth golf bring runway fair way highfunct golf accessori design exclus women golfer whimsic print bright color combin best design golf world high playabl accessori guarante style game golf longer boy longer stuck equip",2,0
2259,"blueski gel nail polish","blueski number 33oz soak uv gel nail polish number","",4,0
2261,"road bicycl","kestrel 200sc carbon fiber road bike number cm black arm rest bar","",4,0
2267,"hair accessori","crawford corner shop black ponytail hair clip","black ponytail hair clip one size fit craft black cotton great hair accessori pull back hair clip perfect wear occas",4,0.943
2272,"gold dress","women ann klein crystal index leather strap 34mm rose gold","sparkl crystal polish roman numer mark index beauti watch defin pretti motherpearl dial slim leather strap style name ann klein crystal index leather strap 34mm",1,0
2273,"bird seed feeder","nutteri acorn seed feeder"," cat big bird resist feeder icon stainless steel acorn design made use highest qualiti materi manufactur standard complet squirrel easi fill clean suprem seed feeder",4,0
2277,"dress shirt","men beig twill dress shirt","",4,0
2279,"chocol mold","freshwar numbercav silicon candi pastri mold","freshwar chocol mold creat number chocol circl heart shape construct flexibl nonstick mold can use oven microwav heat resist",4,0
2287,"solar batteri charger","renogi solar bundl kit 100w polycrystallin 12v 100w solar 30a charg mc4 adapt kit"," number tire alway hook camper rv power renogi solut renogi 100w kit stock item need make solar instal rooftop boat renogi panel back number year perform renogi expert stand us answer call click view addit inform item solar panel also suitabl marin usag materi plastic set includ one renogi 100w poli solar one 9in adaptor kit one pwm 30a charg control dimens number x number x number mm number x number number x number number care instruct normal glass care",4,0.943
2295,"pressur cooker","elit elit numberfunct numberquart electron pressur cooker","",4,0
2297,"lego star war","lego star war tnumber skyhopp","now can swoop canyon tatooin highperform lego star war tnumber skyhopp contain pilot adjust detach storag box dual springload shooter lego skyhopp maneuver airspeed good chase womp rat target practic watch badtemp tusken raider love attack gaffi stick can reliv famous star war can creat new one toy includ two minifigur weapon skyhopp pilot tusken raider can play star war skyhopp can introduc franchis children watch eye light play toy shoot bad guy avoid enemi hour fun entertain make lego star war tnumber skyhopp part toy collect",4,0.471
2299,"fitbit charg","fitbit charg wireless activ sz larg ","",4,0.471
2300,"sweater dress","lenni nina leonard long sleev women sweater dress belt","made cotton dress durabl stylish avail varieti sure match wardrob",4,0
2302,"nike shoe","women s sport design skecher slip sneaker","instant enrich style comfort level s sport women slip soft smooth solid heatheredfinish fabric slip sporti casual comfort sneaker stitch overlay accent stitch overlay zig zag stitch detail soft fabric shoe cushion lightweight super flexibl outsol",2,0.687
2304,"candl lantern","slight use medium size white iron victorian style pillar candl lantern"," beauti victorian style candl lantern made matt white iron accent eleg floral cutwork detail will add magic ambianc even made iron clear glass panel iron loop top easi hang may sit use one pillar candl inch diamet candl includ weigh littl one pound measur number inch long x number inch wide x number inch high includ hang ",3,0.471
2306,"hello kitti","hello kitti women black leather strap 36mm h3wl1043bk","hello kitti join dark side black timepiec",4,0.943
2308,"cuisinart coffe maker","cuisinart number cup automat coffeemak","numbercup capac adjust shutoff fulli programm approx x x number filter includ",4,0
2310,"men leather shirt","men shortsleev leather polo shirt daniel won black","daniel won design outerwear sportswear sinc graduat hanyang univers korea daniel move new york number receiv fashion design degre fit graduat join robert comstock new increas knowledg leather outerwear number past year head design emanuel ungaro outerwear new york collect incorpor element outerwear sportswear use common thread fine leather luxuri uniqu fabric includ exclus develop new leather techniqu laser perfor camouflag luxuri lamb laser etch lamb mani item design achiev multifacet use give consum abil creat distinct remov revers function",4,0
2312,"kitchen rug","new generat kitchen rug","mohawk home kitchen rug sure add comfort charm kitchen combin style kitchen rug will fit decor need nonslip back safeti",4,0
2316,"candl holder","order home collect 5pc tealight earth tone candl set"," number bring soft illumin classic style area home decor set featur number solid glass votiv holder beauti mute hue candl holder rest decor amid attract espresso wood base add ambient light room ideal ad touch style allur candl set design indoor outdoor use assort river rock accent design earth tone glass bring dramat style sophist home offic packag includ rock tealight candl includ set indoor color option earth tone materi rock dimens number inch wide x number inch deep x number inch high",4,0.471
2320,"pittsburgh pirat","game wear pittsburgh pirat color basebal bracelet","support pittsburgh pirat game wear color basebal bracelet bracelet featur team color display team spirit subtl way",3,1.166
2325,"kitchenaid mixer","kitchenaid numberspe ultra power hand white","kitchenaid numberspe hand mixer come equip stainlesssteel beater power dc motor simpl use three power speed effortless can easili get job done quick get cake bread oven beater eject button keep hand clean ultra power kitchen hand mixer make prepar favorit meal easi",4,0
2329,"lego star war","lego star war yoda watch","time jedi kid can build custom lego star war rearrang color link dozen differ look yoda collect watch come match yoda toy hour star war action play",4,0
2330,"tupperwar water bottl lime","zulu atlas beverag bottl pink number oz","youll love rehydr zulu atlas beverag bottl pink awesom bottl featur grip make easi hold whether youv got extra cold beverag take water break workout nifti lid snap shut spill easi hold attach backpack carri devic lid detach straw bottl easi clean water bottl can hold approxim number ounc dishwash safe",2,0
2334,"candl lantern","number bulk lot white chic moroccan shabbi candl lantern holder wed centerpiec","",4,0.471
2336,"vanilla scent perfum","jean paul gaultier number unisex numberounc eau de parfum spray","",2,0.49
2349,"werewolf costum","adult evil scari werewolf wolf vinyl costum mask standard","great werewolf mask rubi great quick econom costum great classic werewolf mix accessori creat teen great qualiti vinyl mask cover entir slit back put great even better costum accessori ",4,0.471
2354,"hawaiian shirt","la leela men palm tree sunset print orang beach hawaiian shirt swim camp","get readi beachsid fun wear casual shirt la leela beauti print trendi button will add new twist casual look",4,0
2367,"storag ottoman","leather ottoman storag footstool coffe brown espresso bench live room","",4,0
2368,"white jean","signatur levi strauss co women modern bootcut jean","show signatur levi strauss co women modern bootcut jean fashion jean sit natur waist comfort fit slimmer seat thigh design make look long lean tradit numberpocket style bootcut leg open perfect go casual dress look lighter extra stretchi denim provid superior comfort contour curv creat sexier silhouett signatur levi strauss co women modern bootcut jean avail three differ length everi woman can enjoy great chic jean perfect look comfort style add signatur levi strauss co women modern bootcut jean closet today",3,0.748
2369,"bluray hobbit extend","hobbit unexpect journey dvd ","",3,0.748
2370,"full tang knife","mtech full tang camo surviv knife number number ","mtech full tang camo surviv knife number number camo surviv knife mtech must outdoor men hunter amaz knife strap side via nylon sheath can explor wilder confid full tang number stainless steel blade partial serrat perfect tool outdoor situat make versatil import addit surviv gear camo surviv knife mtech featur includ number stainless steel full tang black coat partial serrat blade blade length number number inch camouflag handl overal dimens number number x number x number number inch",4,0
2374,"bike lock","bv bike buddi numberfoot resett combin cabl lock","bicycl buddi numberdigit combin cabl lock easi set easi make life difficult thiev set combin wont ever forget bike will safe theft compact flexibl coil can extend numberfeet wrap around fenc ",4,0
2377,"bedspread","lofti quilt bedspread"," lightweight bed option yearround layer made cotton fill polyest ad loft prewash soft machin washabl versatil topper perfect layer yearround use soft geometr pattern lofti textur will creat look warm welcom prewash ad soft cotton shell polyest fill machin wash dri made portug",4,0
2379,"pot pan set","coreal numberpiec stainless steel fri pan set","show cook skill set durabl stainless steel coreal fri pan twopiec set can use heat make versatil option kitchen",3,0
2380,"gym glove","lion martial medium red art karat glove pair","anladia women gradient denim distress skinni jean",2,0.687
2386,"soda stream","sodastream genesi home soda maker starter kit ","make perfect soda seltzer home push can transform tap water fresh made soda sodastream home soda maker econom easi use just fill includ reusabl carbon bottl wit",4,0
2391,"toddler sandal","oshkosh bgosh pear toddler girl sandal","toddler girl pearg slingback sandal oshkosh bgosh will littl girl look readi spring decor bow toe hookloop strap easi adjust pretti floral opento shoe will dazzl favorit sundress",3,0
2399,"busi badg holder","deflecto eightpocket busi card capac number clear","display multipl card one conveni holder design offer clear view card durabl plastic hold number card per pocket card holder card card clear",4,1.414
2400,"deep fryer","presto profession cooldaddi electr deep fryer number","serv crunchi onion ring right home cooldaddi electr deep fryer presto profession cooker design home numberwatt fryer offer big numbercup capac compact size safeti featur includ cool touch exterior basket handl doubl exterior control lower food oil cover close charcoal filter reduc fri odor seal tight cover prevent splatter monitor progress easili extra larg view window remov nonstick pot make cleanup easi interior heavycast nonstick aluminum exterior staycool plastic hand wash import number profession cooker design home use numbercup capac compact size cool touch exterior charcoal filter reduc fri odor seal tight cover prevent splatter",3,0
2402,"cross strap backpack","singl strap school travel sport sling cross navi blue shoulder bag number","",3,0.471
2403,"sleep bag","disney frozen slumber slingbag set","slumber set prompt longest backback frozen marathon time disney frozen slumber slingbag set made polyest toasti warm slumber featur side carri bag special design temperatur number degre sleep bag featur elsa olaf will hit slumber parti",4,1.414
2409,"micro usb hdmi","kelli comput suppli lockabl cpu x black","video cabl creat pure digit connect dvien hdtv display devic hdmien digit video sourc gold plate connector provid optim signal transfer premium doubleshield cabl protect outsid nois interfer cabl hdmi devic connect devic digit display devic digit sourc devic",2,0.98
2413,"white dress","women tori burch print tunic size number white","mix pattern mikado dress tori burch yarndi mikado dress caftan necklin sleeveless shift silhouett back zip silk import model measur height bust waist number hip dress size us number tori burch tori burch luxuri lifestyl brand defin classic american sportswear eclect sensibl embodi person style spirit ceo tori creat stylish wearabl cloth accessori women age",4,0.471
2415,"tv","samsung number seri un40h6350 number 1080p hd led lcd internet","",4,0
2422,"keurig coffe maker","keurig k10 mini plus kcup coffe maker brewer","",4,0
2426,"patio umbrella","pillow perfect floral fantasi raspberri numberfoot patio umbrella","pillow perfect patio umbrella featur aluminum pole eight rib construct flap stylish uv resist polyest cover offer chic yet function escap bright outdoor durabl polyest cover easili open close hand crank system tilt ad shade",4,0
2427,"shotgun shell pouch","rangemaxx zipper shell bag"," zipper shell bag perfect accessori shotgun shooter top pouch hold one box shotgun shell easi access lower pouch secur stow number empti shell move freeli around shoot rang without worri empti shell spill end quick unload spent shell zipper bottom empti bag rangemaxx zipper shell bag foamreinforc back made durabl number denier polyest import",3,0.471
2428,"men dress shirt","noniron tradit fit multicheck dress shirt","",4,0.471
2431,"assassinss creed","assassin creed ezio costum hoodi l","ezio auditor alway move stay ahead call law bring true peac justic itali need make sure keep face cover warm get pretti cold top church tower like now can share ezio style assassin creed ezio costum hoodi assassin creed ezio costum hoodi load super cool featur detail expans pointi assassin lace embroideri bottom will put latest renaiss italian hoodi fashion slip assassin creed ezio costum hoodi officiallylicens ubisoft assassin creed ezio costum hoodi white cotton polyest hoodi also featur embroid lace assassin creed logo zipper point assassin hood machin wash cold tumbl dri low lay flat dri import",3,0.433
2433,"k cup","barni coffe kitchen barni varieti pack serv coffe kcup","barni coffe kitchen varieti pack make perfect sampler varieti pack discov pleasur amaz blend sooth wellround flavor barni coffe satisfi crave someth classic familiar",3,0.748
2440,"silicon toe separ","venosan venosoft numbernumb mmhg thigh silicon top close toe","",1,0.471
2444,"gym glove","holi bibl new intern razzleberri italian thinlin bibl","lightweight compact portabl niv compact thinlin bibl perfect bibl go lifestyl design conveni size allow carri just anyth gym glove laptop case niv compact thinlin bibl ideal way keep god word side featur extrathin editionless one inch thick present pageid gift give ribbon marker testimoni bibl great tuck work bag travel bag without ad extra weight bulk high recommend toni sever keep stash right place glove desk suitcas never find without word god jacki",1,0
2450,"full tang knife","guy fieri side tang santoku red","sidetang cutleri offer perfect perfect blend weight balanc feel comfort hand blade expert craft highcarbon german hold ultrasharp edg numberinch santoku knife hand wash warm water mild rins dri immedi includ knife santoku knife blade materi stainless steel handl materi ab cutleri construct forg care clean hand wash recommend warranti descript number year limit manufactur warranti",3,0.49
2457,"patio umbrella","buoy beach patio umbrella ft squar beach patio umbrella aqua aluminumpol multi bb131101","",4,0
2459,"button shirt","soft wash italian black denim button shirt"," upscal night just day cant go wrong numberperc cotton button shirt alara luxuri addit wardrob",4,0.471
2463,"ice cream maker","old fashion numberquart ice cream maker","",4,0
2467," runner","xia home fashion tulip bouquet number x number runner","",4,0
2468,"laptop lenovo","lenovo geek squad certifi refurbish number number","",4,0.471
2471,"bike children","mwave aluminum center mount kid bike kickstand","aluminum adjust safeti foot fit bike",3,0.943
2488,"pot pan set","alpin stainless steel big numberpiec stock pot set","alpin cuisin stainless steel stockpot set versatil enough cook batch chili gallon soup durabl stainless steel provid last use set come size meet larg cook need",3,0.471
2489,"cat grass","purina kitten dri cat number number lb bag","anim feed test use associ american feed control offici procedur substanti purina kitten chow nurtur cat food provid complet balanc nutrit life stage cat purina dedic number year develop highqual product satisfi need dog cat nurtur dog food nurtur cat food purina kitten chow nurtur cat food number percent complet balanc encourag healthi appetit grow kitten balanc cat food fill number essenti vitamin miner nutrient found mother cat milk purina kitten chow will also help support healthi brain develop",3,0.471
2490,"cross strap backpack","barska optic bi12340 gxnumber tactic sling backpack tan","barska optic bi12340 gxnumber tactic sling backpack tan gxnumber tactic sling backpack tanmanufactur id bi12340barska optic gxnumber tactic sling backpack bi12340on main compart number smaller compart intern organ ambidextr cross pad shoulder sling strap system front side web system attach extra accessori top bottom handl offer altern carri posit pad back ventil channel larg velcro area attach patch name tape top access pass port side compress adjust velcro divid dual mag pouch pad back ventil univers sling side compress straps adjust velcro dividersspecif model bi12340 finish tan weight number number lbs outer size x number x number number",2,0.471
2498,"lego","lego star war desk lamp","lego star war desk lamp minifigur hold led light lightsab help studi provid light work latest lego project star war desk lamp minifigur detach posabl",2,0.471
2500,"videogam ps4","destini"," creator publish call come next evolut interact entertain epic adventur unlik anyth player experienc destini guardian last citi abl wield incred power explor ancient ruin solar red dune mar lush jungl venus defeat earth enemi discov lost becom legend destini deliv new way experi firstperson action game sweep adventur set within new destini featur unpreced combin person activ seamless woven persist onlin world",4,0.471
2506,"number gb memori card","lot number sandisk 16gb micro sd microsdhc sdhc sd class number flash tf memori card","",4,0
2508,"convers high top","convers two fold hi youth girl size number gray textil sneaker shoe uk number number","convers brand athlet now includ wide rang lace slip style men women dazzl array hip first gain fame still earn respect convers star hightop canva basketbal shoe wide known simpli nicknam basketbal player join compani number promot still footwear choic mani serious basketbal player also anyon want casual shoe shoemak marqui convers open convers rubber shoe compani dedic manufactur waterproof winter footwear seven year compani expand line includ tenni shoe expand basketbal shoe number",3,0.471
2509,"wii gamepad","number brand new control nintendo gamecub wii black blue","",3,0.471
2514,"yanke","yanke red dipper feeder","prevent larg bird squirrel eat bird food bird feeder red feeder will attract bird will look great yard garden",1,0.471
2515,"cargo short","men union logan cargo size number black","",4,0
2516,"yoga pant","danskin now women dri crop numberpack valu bundl","danskin now women dri crop avail conveni numberpack valu stylish comfort made stretch cotton come capri length leg pack includ dri moistur wick technolog antimicrobi reduc odor danskin now women dri crop numberpack valu bundl pack number danskin now leg stretch cotton elast waistband capri length dri moistur wick technolog antimicrobi reduc odor",2,0.8
2519,"router","linksi wrt1900ac wireless ac router","engin deliv bestclass network linksi wrt1900ac dualband gigabit wifi router deliv unmatch user experi ultim wifi coverag home router featur upgrad icon linksi blueblack design outfit latest wireless ac platform along industri first fourantenna configur power number 2ghz dualcor arm provid except signal strength rang simultan support multipl user also featur uniqu dual number number usb number number port conveni connect array devic experi lightningfast transfer speed",4,0.471
2522,"kitchen rug","fish lure lunker bait tackl cabin lodg home decor kitchen rug door mat","",4,0
2525,"full tang knife","number full tang wood hunt knife sheath tactic surviv bowi","",4,0
2532,"dress women","someday lovin bunker tiedy dress women","",4,0
2533,"tablet accessori","insten purpl case accessori samsung galaxi tab number number number number inch tablet smt210r","",4,0.471
2537,"kitchenaid mixer","kitchenaid stand mixer pasta press attach"," pasta press attach compat stand mixer allow make fresh pasta home featur six interchang pasta attach make small larg fusilli color white packag includ six interchang pasta plate hardwar finish stainless steel assembl requir materi stainless plastic dimens number inch high x number number inch wide x number number inch deep",4,0.943
2539,"blender","bosch compact blender pitcher","bosch blender pitcher design crumb make anyth fresh nut babi sandwich spread four cup capac",4,0.471
2540,"micro usb hdmi","adesso xtream xtream s3 speaker system wireless black"," s3 design flexibl mind doubl stand tablet smart can turn upsid settop speaker notebook s3 util bluetooth number number wireless handsfre audio deep bass speaker sound technolog high qualiti sound will improv movi multimedia experi make flawless handsfre phone call use integr omnidirect microphon never run batteri power io screen meter multipoint technolog connect two devic time silicon materi better protect great pair portabl make perfect companion notebook comput",1,0
2553,"memori foam pillow","viscofresh memori foam ventil standard","",3,0.471
2554,"spiderman","marvel amaz spiderman number marvel legend infinit seri amaz spiderman action figur","build green goblin figur part come cool marvel legend infinit seri heroic amaz spiderman number figur will take green goblin dastard come right arm part build green goblin collect number part figur sold complet evil mastermind send spiderman figur battl action epic build green goblin marvel product produc hasbro licens marvel charact ",4,0
2556,"full tang knife","threshold block print paisley comfort set","",1,0
2558,"projector","epson elplp77 replac projector lamp","epson elplp77 replac projector lamp projector lamp uhe",2,0.471
2561,"fifa number","ea sport fifa number xbox one","fifa number bring footbal life stun detail fan can experi emot sport like never preord fifa number receiv number gold pack build dream club fifa number ultim team",4,0.471
2562,"eye cream","aveeno activ natur posit ageless lift firm eye number oz","wheat protein firm skin shiitak mushroom enhanc vital slow age effect cream number number oz moistur eye cream lift firm skin around eye reduc appear line wrinkl dark circl ingredi methylheptyl tetrahydroxypropyl butylen cetyl cetearyl c12number alkyl glyceryl cetyl myristyl dimethicon cocglycerid hydroxtethyl acryloyldimethyl laurat glyceryl stearyl glyceryl dmdm methylparaben saccharomyc lysat glyceryl sodium methylesculetin distearyl picea excelsa bud polysorb ganoderma lucidum stem alga lentinus edod titanium mica may also contain citric acid",3,0.471
2568,"yanke candl","yanke candl number midsumm night 4pk vent clip","intox masculin blend sage mahogani cologne neutral odor enjoy truelif yanke fragranc vent sticks use vent stick vehicl air vent fill air authent yanke fragrance vent stick provid continu fragranc two weeks sku das13837",4,0.8
2569,"notebook paper","marbl cover composit book","composit",2,0.943
2572,"skeleton poster","eurograph numbernumb skelet system poster","",4,0
2573,"workout cloth women","women black lycra workout pant","made lightweight tactel lycra elast drawstr pant will move pack away easili avail quick chang comfort anytim",3,0.471
2577,"candl lantern","urban trend metal lantern handl votiv candl holder antiqu pierc silver","urt7072 featur come handl color silver finish pierc metal materi metal dimens overal height top bottom number number inch overal width side side number inch overal depth front back number inch overal product weight number number pound",3,0.471
2581,"thoma train"," thoma tank engin stori","illustr full color thoma tank engin decid bypass usual stop speed direct end havoc ensu passeng bounc seat one can get everyth baggag car get mix",4,0.471
2583,"cargo short","men dicki 13in relax fit peach twill cargo short black","get job done comfort style cargo short featur bellow cargo pocket casual waistband",4,0
2586,"singl serv coffe maker","lipper intern singl serv reusabl coffe pod keurig coffe maker ","",2,1.258
2589,"microwav","rca number numbercu ft stainless steel","quick consist heat meal rca number numbercu ft microwav highpow rca microwav featur weight speed defrost great quick defrost frozen cut meat veget also ten power level nine automat cook menus fast simpl heat cook stainless steel microwav hour digit clock numberminut digit can keep eye time rca number numbercu ft stainless steel stainless steel microwav equip number power level speed weight defrost conveni nine automat cook menus varieti meal hour digit clock numberminut digit timer help keep eye time 1000w number numbercu ft rca microwav come numberyear part labor warranti number x number x rca number numbercu ft microwav rmw1108",4,0
2590,"zippo","zippo high polish chrome filigre pocket lighter","high polish chrome finish filigre designpackag environment friend gift boxal metal windproof design work virtual anywhererefil lifetim flint replaceabledistinct zippo click",3,0.471
2591,"bluray hobbit extend","hobbit desol smaug bluray disc widescreen number","hobbit desol smaug bluray disc widescreen number along bilbo baggin gandalf continu quest reclaim homeland erebor smaug dragon",3,0.471
2592,"bridal shower decor","person bridal shower banner number","hang person bridal shower banner announc bridal shower post well wish vinyl banner featur pink rose design word",4,0.943
2593,"wreck ralph","disney boy tween wreck ralph watch","featur pink bezel pink leather strap finish polish matt steel style children watch band materi leather watch color pink face color pink product type analog shape l",3,0.943
2600,"yanke","mlb men new york yanke knit short","support team comfort team sleepwear wear comfi team logo sleepwear watch favorit mlb team wear game show true pride",4,0.8
2602,"silver jean","uttermost tori denim squar wall mirror ","add uniqu look home decor squar mirror set featur stretch denim wrap wooden frame accent silver inner edg materi linen finish antiqu orient shape squar frame wood overal dimens number number inch high x number number inch wide x number inch deep",1,0
2603,"recharg batteri","medlin medcel alkalin aa ","medcel advantag alkalin batteri design provid superior perform hightech devic blood glucos puls blood pressur monitor telemetri unit ongo batteri togeth research brought mercuryfre alkalin batteri profession applic batteri packag profession use",3,0.816
2605,"green bay packer","green bay packer got tshirt","get readi nfl season tshirt green bay packer got tshirt number percent cotton machin washabl avail mani size",3,0.748
2606,"white plain dinner set","linea echo white dinner plate set number","",4,0.943
2607,"tupperwar water bottl lime","camelbak eddi water bottl palm ","conveni portabl size go hydrat fit conveni cup holder",2,0.943
2610,"zippo hand warmer","grabber numberpack mega warmer","perfect sooth warmth grabber mega warmer portabl everyday heat sourc last twelv hour nontox nonflamm warmer perfect grabber sleep bag pouch refil grabber cozi muff grabber stadium seat mega warmer come number packag per box packag quantiti number maximum effect durat number number maximum warm temperatur number degre fahrenheit materi iron dimens number number h x number number l x number number w weight number number lb applic hand",2,0.471
2616,"electr blanket","biddeford heat microplush throw zebra","wrap warmth season ultra soft micro plush heat throw biddeford digit control allow choos six heat set provid perfect warmth level also featur numberhour automat shut ad safeti extralong number foot power cord allow snuggl throw room heat throw machin washabl dryabl come number year warranti featur automat light control number heat set number number hour auto shut number cord length number number fiber content number polyest weav type micro plus",4,0.471
2617,"button shirt","american apparel men button shirt","",4,0.471
2618,"flea tick control dog","frontlin plus flea tick control medium size dog number number lbs 3ct","frontlin plus flea tick control provid effect conveni treatment control flea chew lice dog weigh number lbs number lbs fastact medic also kill includ may transmit lyme diseas mediums dog flea tick control can safe use dog puppi give man best friend break harm pest year long conveni packag dog flea tick prevent contain enough medic three month",4,0
2620,"blue mini fridg","applianc art christma tree refriger cover","christma tree theme refriger cover will add touch winter holiday home applianc art refriger cover easi instal easi keep clean",2,1.166
2621,"waffl maker","profession doubl belgian waffl maker","profession doubl belgian waffl maker cook two delici belgian waffl time easyus applianc make delici belgian waffl crispi outsid light fluffi insid unit rotat function help even coat batter upper lower waffl plate gourmetqu belgian waffl extradeep pocket fill mapl whip fresh fruit applianc also provid rotari browningcontrol knob light dark accommod individu prefer featur waffl maker numberwatt doubl belgian waffl maker home use make two belgian waffl time extradeep waffl pocket produc extrathick waffl easyhandl rotari ensur even bake top bottom rotari control knob two led readi indic light audio beep tone indic waffl readi delici recip includ manual brush st ",4,0
